Name	Latitude	Longitude	Category	Checkins
The Grand Concourse	40.769355	-73.889588	None	9
McManus Memorial Park	40.7686199909	-73.8887690137	Park	573
Servisair AA Office	40.7734626683	-73.8870349411	None	8
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359068
Terminal A	40.7734733296	-73.8853812417	Airport Terminal	27703
Marine Air Terminal	40.7736725825	-73.8843189621	Airport Terminal	8293
Port Authority Of NY/NJ Precinct	40.7718564954	-73.8852262066	Police Station	23
Hertz Shuttle	40.7709963459	-73.8853812417	Moving Target	101
American Terminal	40.7754176449	-73.873156065	Airport Terminal	2302
LGA Tarmac	40.7790465887	-73.8743019104	Airport Service	465
Yankee Clipper	40.7734517865	-73.8857257636	Diner	905
Gate 4	40.7737818732	-73.8837647438	Airport Gate	377
Gate 3	40.7736518749	-73.8839364052	Airport Gate	643
Delta Shuttle	40.773700482	-73.8841007634	Airport Terminal	6573
P10 Parking Lot	40.773391	-73.884165	Parking	19
LGA PA Offices Hangar 7	40.772228019	-73.8862712553	Coworking Space	54
World Bean	40.773749	-73.884182	Café	69
Delta Marine Air Terminal TSA Screening	40.7737149352	-73.8841696683	Airport Service	1941
Delta Shuttle Control Center	40.7721760502	-73.8846864541	Airport Terminal	36
Delta Check-In	40.7736774814	-73.8844969661	Airport Service	566
Gate 5	40.7737007778	-73.8839342432	Airport Gate	598
LGA Marine Terminal Passenger Pick-up	40.773113	-73.885527	Airport Terminal	208
Martini Bar	40.7736193753	-73.8840436935	Bar	842
Delta Shuttle Bus Stop for Q47, Q48 and M60	40.7730603397	-73.8860530588	Bus Line	337
East Loop	40.7709407483	-73.8844510296	Bus Line	129
Gate 1	40.7734935657	-73.8847036802	Airport Gate	771
Baggage Claim	40.773473549	-73.8853410474	Baggage Claim	68
7-Eleven	40.7694807651	-73.8863012381	Convenience Store	32
Delta Shuttle Ticket Counter	40.7737477644	-73.8840548268	General Travel	33
CIBO Express Gourmet Market	40.773670108	-73.8842328311	Café	67
